driver,time,lapNum,s1,s2,s3,spI1,spI2,SpeedFL,spst,isPB,compound,tyrelife,isFresh,Stint,trackStatus,isAccurate,season,round
33,90.847,8.0,28.92,39.148,22.779,243.0,264.0,283.0,308.0,True,SOFT,2.0,True,3,1,True,2021,1
4,90.942,10.0,28.796,39.249,22.897,245.0,268.0,292.0,313.0,True,SOFT,2.0,True,2,1,True,2021,1
44,91.082,8.0,28.856,39.273,22.953,245.0,262.0,285.0,309.0,True,SOFT,2.0,True,3,1,True,2021,1
55,91.127,8.0,28.68,39.5,22.947,242.0,266.0,284.0,315.0,True,SOFT,2.0,True,3,1,True,2021,1
77,91.218,8.0,28.864,39.34,23.014,242.0,261.0,287.0,309.0,True,SOFT,2.0,True,3,1,True,2021,1
3,91.23,9.0,29.067,39.319,22.844,244.0,267.0,293.0,315.0,True,SOFT,2.0,True,2,1,True,2021,1
22,91.294,8.0,28.888,39.433,22.973,245.0,267.0,285.0,312.0,True,SOFT,2.0,True,2,1,True,2021,1
18,91.393,7.0,28.839,39.374,23.18,245.0,266.0,276.0,315.0,True,SOFT,2.0,True,2,1,True,2021,1
10,91.483,8.0,29.048,39.483,22.951999999999998,240.0,268.0,290.0,312.0,True,SOFT,2.0,True,2,1,True,2021,1
11,91.503,8.0,29.12,39.511,22.872,241.0,265.0,284.0,309.0,True,SOFT,2.0,True,2,1,True,2021,1
31,91.601,6.0,29.03,39.63,22.941,243.0,265.0,281.0,314.0,True,SOFT,2.0,True,2,1,True,2021,1
16,91.612,8.0,28.891,39.602,23.119,241.0,265.0,285.0,312.0,True,SOFT,2.0,True,3,1,True,2021,1
99,91.74,10.0,29.073,39.796,22.871,243.0,266.0,287.0,317.0,True,SOFT,2.0,True,3,1,True,2021,1
5,91.769,8.0,28.863,39.739,23.167,245.0,260.0,283.0,314.0,True,SOFT,2.0,True,2,1,True,2021,1
14,91.77,8.0,28.945,39.897,22.928,246.0,265.0,285.0,313.0,True,SOFT,2.0,True,2,1,True,2021,1
7,91.862,8.0,28.974,39.893,22.995,243.0,265.0,284.0,313.0,True,SOFT,2.0,True,3,1,True,2021,1
63,92.331,7.0,29.102,40.13,23.099,241.0,263.0,287.0,316.0,True,SOFT,2.0,True,2,1,True,2021,1
47,93.297,9.0,29.495,40.496,23.306,243.0,265.0,281.0,311.0,True,SOFT,2.0,True,2,1,True,2021,1
6,93.4,7.0,29.608,40.572,23.22,236.0,259.0,285.0,313.0,True,SOFT,2.0,True,2,1,True,2021,1
9,93.449,6.0,29.444,40.389,23.616,244.0,265.0,283.0,311.0,True,SOFT,2.0,True,2,1,True,2021,1
77,75.551,8.0,24.025,26.224,25.302,229.0,256.0,286.0,290.0,True,MEDIUM,8.0,True,4,1,True,2021,2
44,75.561,13.0,24.106,26.204,25.251,233.0,256.0,283.0,288.0,True,SOFT,4.0,True,5,1,True,2021,2
10,75.629,12.0,24.064,26.125,25.44,232.0,260.0,288.0,292.0,True,SOFT,4.0,True,5,1,True,2021,2
55,75.834,10.0,24.191,26.304,25.339,230.0,257.0,282.0,288.0,True,SOFT,2.0,True,6,1,True,2021,2
16,76.371,11.0,24.415,26.381,25.575,230.0,255.0,286.0,288.0,True,SOFT,5.0,True,6,1,True,2021,2
11,76.411,12.0,24.445,26.518,25.448,228.0,256.0,283.0,287.0,True,SOFT,4.0,True,4,1,True,2021,2
22,76.419,11.0,24.281,26.448,25.69,232.0,258.0,284.0,285.0,True,SOFT,4.0,True,5,1,True,2021,2
4,76.485,11.0,24.522,26.408,25.555,230.0,255.0,283.0,283.0,True,SOFT,2.0,True,6,1,True,2021,2
99,76.513,10.0,24.389,26.571,25.553,227.0,256.0,284.0,284.0,True,SOFT,2.0,True,6,1,True,2021,2
18,76.737,8.0,24.383,26.452,25.902,228.0,256.0,287.0,283.0,True,SOFT,2.0,True,5,1,True,2021,2
31,76.817,9.0,24.369,26.72,25.728,229.0,255.0,284.0,286.0,True,SOFT,2.0,True,4,1,True,2021,2
6,76.823,10.0,24.441,26.618,25.764,225.0,260.0,289.0,288.0,True,SOFT,4.0,True,4,1,True,2021,2
14,76.835,11.0,24.476,26.637,25.722,226.0,257.0,281.0,286.0,True,SOFT,4.0,True,7,1,True,2021,2
33,76.999,2.0,24.651,26.564,25.784,226.0,256.0,281.0,284.0,True,MEDIUM,2.0,True,5,1,True,2021,2
5,77.092,9.0,24.51,26.683,25.899,230.0,255.0,283.0,288.0,True,SOFT,2.0,True,4,1,True,2021,2
63,77.179,14.0,24.563,26.633,25.983,229.0,256.0,282.0,281.0,True,SOFT,8.0,True,5,1,True,2021,2
7,77.273,12.0,24.56,26.846,25.867,225.0,254.0,280.0,282.0,True,SOFT,2.0,True,6,1,True,2021,2
3,77.281,8.0,24.736,26.728,25.817,228.0,254.0,282.0,284.0,True,MEDIUM,8.0,False,5,1,True,2021,2
47,77.35,18.0,24.74,26.872,25.738,225.0,256.0,284.0,286.0,True,SOFT,6.0,True,4,1,True,2021,2
9,77.857,11.0,24.693,27.118,26.046,223.0,257.0,283.0,289.0,True,SOFT,7.0,True,5,1,True,2021,2
44,79.837,10.0,23.064,30.625,26.148,283.0,182.0,293.0,309.0,True,SOFT,3.0,True,2,1,True,2021,3
33,79.98,11.0,22.965,30.709,26.306,286.0,182.0,281.0,307.0,True,SOFT,2.0,True,3,1,True,2021,3
77,80.181,9.0,23.228,30.644,26.309,283.0,188.0,289.0,305.0,True,SOFT,2.0,True,2,1,True,2021,3
55,80.197,11.0,23.09,30.894,26.213,279.0,186.0,297.0,310.0,True,SOFT,3.0,True,3,1,True,2021,3
14,80.22,10.0,23.211,30.96,26.049,287.0,187.0,297.0,314.0,True,SOFT,2.0,True,2,1,True,2021,3
31,80.235,12.0,23.138,30.938,26.159,286.0,190.0,300.0,315.0,True,SOFT,5.0,True,2,1,True,2021,3
16,80.36,12.0,23.218,30.944,26.198,284.0,190.0,288.0,308.0,True,SOFT,3.0,True,3,1,True,2021,3
3,80.418,16.0,23.09,30.852,26.476,288.0,188.0,285.0,308.0,True,SOFT,4.0,True,2,1,True,2021,3
18,80.427,9.0,23.217,30.804,26.406,287.0,188.0,289.0,311.0,True,SOFT,2.0,True,2,1,True,2021,3
11,80.516,15.0,23.255,30.962,26.299,286.0,191.0,285.0,309.0,True,SOFT,5.0,True,2,1,True,2021,3
10,80.558,17.0,23.243,30.989,26.326,286.0,187.0,286.0,308.0,True,SOFT,9.0,True,2,1,True,2021,3
4,80.757,12.0,23.159,30.857,26.741,285.0,191.0,290.0,307.0,True,SOFT,4.0,True,2,1,True,2021,3
63,80.976,14.0,23.268,31.186,26.522,286.0,188.0,297.0,,True,SOFT,5.0,True,2,1,True,2021,3
22,81.053,17.0,23.369,31.042,26.642,285.0,181.0,284.0,307.0,True,SOFT,7.0,True,2,1,True,2021,3
5,81.074,8.0,23.418,31.22,26.436,287.0,188.0,287.0,308.0,True,SOFT,2.0,True,2,1,True,2021,3
7,81.225,11.0,23.474,31.296,26.455,285.0,187.0,287.0,309.0,True,SOFT,2.0,True,2,1,True,2021,3
99,81.238,13.0,23.617,31.196,26.425,284.0,189.0,288.0,313.0,True,SOFT,5.0,True,2,1,True,2021,3
47,81.537,11.0,23.688,31.185,26.664,283.0,185.0,288.0,309.0,True,SOFT,3.0,True,2,1,True,2021,3
6,81.855,13.0,23.709,31.421,26.725,282.0,182.0,293.0,319.0,True,SOFT,4.0,True,2,1,True,2021,3
9,82.638,9.0,24.015,31.445,27.178,279.0,173.0,288.0,311.0,True,SOFT,2.0,True,2,1,True,2021,3
44,78.17,9.0,22.144,29.296,26.73,281.0,297.0,278.0,311.0,True,SOFT,2.0,True,2,1,True,2021,4
77,78.309,8.0,22.26,29.282,26.767,277.0,297.0,277.0,310.0,True,SOFT,2.0,True,3,1,True,2021,4
16,78.335,8.0,22.226,29.447,26.662,278.0,296.0,281.0,311.0,True,SOFT,2.0,True,3,1,True,2021,4
31,78.466,9.0,22.149,29.49,26.826999999999998,276.0,293.0,284.0,314.0,True,SOFT,2.0,True,2,1,True,2021,4
14,78.518,10.0,22.246,29.365,26.907,277.0,295.0,283.0,314.0,True,SOFT,2.0,True,2,1,True,2021,4
10,78.593,14.0,22.166,29.373,27.054,281.0,301.0,285.0,313.0,True,SOFT,5.0,True,2,1,True,2021,4
22,78.619,13.0,22.042,29.339,27.238,281.0,298.0,283.0,317.0,True,SOFT,5.0,True,2,1,True,2021,4
55,78.674,9.0,22.317,29.412,26.945,279.0,296.0,281.0,306.0,True,SOFT,2.0,True,3,1,True,2021,4
33,78.785,6.0,22.388,29.457,26.94,281.0,299.0,278.0,308.0,True,MEDIUM,6.0,False,2,1,True,2021,4
11,78.918,10.0,22.444,29.373,27.101,279.0,289.0,276.0,306.0,True,SOFT,2.0,True,3,1,True,2021,4
5,78.947,7.0,22.186,29.561,27.2,283.0,292.0,285.0,314.0,True,SOFT,2.0,True,2,1,True,2021,4
4,79.092,7.0,22.303,29.548000000000002,27.241,280.0,298.0,282.0,309.0,True,SOFT,2.0,True,2,1,True,2021,4
99,79.122,12.0,22.32,29.585,27.217,282.0,299.0,283.0,318.0,True,SOFT,2.0,True,3,1,True,2021,4
18,79.134,8.0,22.125,29.829,27.18,281.0,292.0,285.0,315.0,True,SOFT,2.0,True,2,1,True,2021,4
3,79.195,13.0,22.184,29.725,27.286,282.0,301.0,281.0,313.0,True,SOFT,2.0,True,3,1,True,2021,4
7,79.213,12.0,22.15,29.818,27.245,281.0,296.0,285.0,323.0,True,SOFT,2.0,True,4,1,True,2021,4
63,79.957,11.0,22.598,29.953,27.406,280.0,295.0,280.0,314.0,True,SOFT,2.0,True,2,1,True,2021,4
6,80.046,11.0,22.444,30.065,27.537,280.0,300.0,279.0,314.0,True,SOFT,4.0,True,2,1,True,2021,4
47,80.326,13.0,22.571,30.222,27.533,283.0,299.0,285.0,319.0,True,SOFT,6.0,True,2,1,True,2021,4
9,80.753,10.0,22.667,30.311,27.775,278.0,295.0,284.0,318.0,True,SOFT,2.0,True,2,1,True,2021,4
16,71.684,23.0,18.969,33.603,19.112,219.0,206.0,266.0,278.0,True,SOFT,7.0,True,2,1,True,2021,5
55,71.796,18.0,18.813,33.999,18.984,217.0,203.0,268.0,278.0,True,SOFT,3.0,True,3,1,True,2021,5
44,72.074,21.0,18.965,33.931,19.178,219.0,203.0,263.0,276.0,True,SOFT,9.0,True,2,1,True,2021,5
33,72.081,15.0,19.014,33.831,19.236,218.0,200.0,270.0,278.0,True,SOFT,3.0,True,2,1,True,2021,5
77,72.107,15.0,19.109,33.994,19.004,218.0,204.0,271.0,279.0,True,SOFT,4.0,True,2,1,True,2021,5
4,72.379,14.0,19.08,33.962,19.337,218.0,204.0,269.0,277.0,True,SOFT,3.0,True,2,1,True,2021,5
10,72.498,18.0,19.353,33.7,19.445,216.0,206.0,264.0,278.0,True,SOFT,9.0,False,3,1,True,2021,5
11,72.708,19.0,19.118,34.108,19.482,216.0,204.0,269.0,277.0,True,SOFT,8.0,True,2,1,True,2021,5
99,72.746,14.0,19.423,34.042,19.281,218.0,202.0,271.0,280.0,True,SOFT,4.0,True,2,1,True,2021,5
5,72.982,15.0,19.24,34.354,19.388,213.0,202.0,267.0,275.0,True,SOFT,4.0,True,2,1,True,2021,5
7,73.065,20.0,19.321,34.275,19.469,216.0,203.0,270.0,281.0,True,SOFT,9.0,True,2,1,True,2021,5
14,73.175,17.0,19.578,34.148,19.449,213.0,200.0,268.0,276.0,True,SOFT,6.0,True,2,1,True,2021,5
18,73.195,16.0,19.306,34.479,19.41,,197.0,268.0,277.0,True,SOFT,4.0,True,2,1,True,2021,5
31,73.199,13.0,19.503,34.277,19.419,212.0,200.0,265.0,273.0,True,SOFT,4.0,True,2,1,True,2021,5
3,73.257,22.0,19.243,34.537,19.477,214.0,203.0,266.0,276.0,True,SOFT,10.0,True,3,1,True,2021,5
63,73.509,20.0,19.32,34.373,19.816,217.0,202.0,267.0,278.0,True,SOFT,13.0,True,2,1,True,2021,5
6,73.593,17.0,19.508,34.566,19.519,218.0,200.0,266.0,274.0,True,SOFT,9.0,True,2,1,True,2021,5
9,74.407,17.0,19.697,34.816,19.894,213.0,195.0,268.0,276.0,True,SOFT,7.0,True,2,1,True,2021,5
47,74.416,15.0,19.701,34.961,19.754,203.0,199.0,267.0,280.0,True,SOFT,6.0,True,2,1,True,2021,5
22,74.829,9.0,19.854,34.952,20.023,213.0,197.0,266.0,275.0,True,MEDIUM,9.0,True,1,1,True,2021,5
11,102.115,10.0,35.892,41.249,24.974,233.0,236.0,332.0,316.0,True,SOFT,4.0,True,2,2,True,2021,6
33,102.216,10.0,35.826,41.175,25.215,234.0,237.0,330.0,314.0,True,SOFT,4.0,True,2,2,True,2021,6
55,102.243,8.0,36.105,41.247,24.891,233.0,239.0,335.0,316.0,True,SOFT,2.0,True,2,1,True,2021,6
16,102.436,8.0,36.025,41.29,25.121,234.0,238.0,332.0,314.0,True,SOFT,2.0,True,2,1,True,2021,6
10,102.534,11.0,36.016,41.133,25.385,238.0,235.0,328.0,309.0,True,SOFT,4.0,True,2,2,True,2021,6
14,102.693,12.0,36.223,41.456,25.014,222.0,237.0,336.0,315.0,True,SOFT,6.0,True,2,2,True,2021,6
99,102.941,8.0,36.518,41.674,24.749,223.0,230.0,340.0,321.0,True,SOFT,2.0,True,2,1,True,2021,6
4,103.018,8.0,36.267,41.521,25.23,227.0,242.0,330.0,312.0,True,SOFT,2.0,True,2,1,True,2021,6
31,103.02,9.0,36.268,41.941,24.811,215.0,222.0,342.0,323.0,True,SOFT,4.0,True,2,1,True,2021,6
22,103.13,13.0,36.171,41.643,25.316,227.0,235.0,330.0,311.0,True,SOFT,7.0,True,2,2,True,2021,6
44,103.156,11.0,36.102,41.77,25.284,228.0,243.0,331.0,310.0,True,SOFT,5.0,True,2,2,True,2021,6
7,103.22,12.0,36.301,41.711,25.208,229.0,240.0,326.0,316.0,True,SOFT,6.0,False,3,2,True,2021,6
3,103.298,12.0,36.308,41.618,25.372,223.0,228.0,328.0,309.0,True,SOFT,6.0,True,2,1,True,2021,6
18,103.812,10.0,36.563,42.03,25.219,213.0,230.0,330.0,313.0,True,SOFT,4.0,True,2,2,True,2021,6
5,103.881,12.0,36.728,41.966,25.187,225.0,222.0,336.0,314.0,True,SOFT,6.0,True,2,1,True,2021,6
77,104.184,12.0,36.567,42.089,25.528,228.0,228.0,331.0,311.0,True,SOFT,6.0,True,2,1,True,2021,6
63,104.557,7.0,36.812,42.438,25.307,213.0,227.0,321.0,311.0,True,SOFT,2.0,True,2,1,True,2021,6
