Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,36,2,2,0,1
Max Verstappen,49,1,1,1,1
Valtteri Bottas,17,6,6,0,0
Sergio Perez,1,4,DNF,0,0
Daniel Ricciardo,1,10,12,0,0
Charles Leclerc,3,7,10,0,0
Sebastian Vettel,14,15,11,0,1
Fernando Alonso,16,11,8,0,1
Carlos Sainz,44,5,3,0,1
Lance Stroll,5,13,13,0,0
Lando Norris,25,3,7,0,1
Piere Gasly,23,12,5,0,0
Esteban Ocon,10,9,9,0,0
Kimi Raikkonen,-14,18,DNF,0,0
Yuki Tsunoda,32,8,4,0,1
Antonio Giovinazzi,-11,14,DNF,0,1
Nicholas Latifi,-12,16,DNF,0,1
George Russell,-14,17,DNF,0,0
Mick Schumacher,17,19,14,0,1
Nikita Mazepin,1,20,DNS,0,0
