Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,34,2,2,0,1
Max Verstappen,46,3,1,0,1
Valtteri Bottas,11,1,15,1,0
Sergio Perez,33,4,3,0,0
Daniel Ricciardo,0,7,12,0,0
Charles Leclerc,26,8,5,0,1
Sebastian Vettel,18,11,7,0,1
Fernando Alonso,13,16,9,0,1
Carlos Sainz,19,6,6,0,0
Lance Stroll,12,20,14,0,0
Lando Norris,24,10,10,0,1
Piere Gasly,29,5,4,0,1
Esteban Ocon,15,15,13,0,0
Kimi Raikkonen,16,12,8,0,1
Yuki Tsunoda,-10,9,DNF,0,0
Antonio Giovinazzi,3,14,11,0,0
Nicholas Latifi,-2,17,17,0,0
George Russell,8,13,16,0,1
Mick Schumacher,-12,18,DNF,0,0
Nikita Mazepin,2,19,18,0,1
