Driver Name,Fantasy Points,Qualifying Position,Race Finish,Fastest Lap,Finished Ahead of Teammate
Lewis Hamilton,44,1,1,0,1
Max Verstappen,56,2,2,1,1
Valtteri Bottas,1,3,DNF,0,0
Sergio Perez,25,11,4,0,0
Daniel Ricciardo,7,14,12,0,0
Charles Leclerc,27,13,8,0,0
Sebastian Vettel,8,10,10,0,0
Fernando Alonso,30,5,3,0,1
Carlos Sainz,15,7,7,0,1
Lance Stroll,24,12,6,0,1
Lando Norris,6,6,9,0,1
Piere Gasly,11,4,11,0,1
Esteban Ocon,24,9,5,0,0
Kimi Raikkonen,11,16,14,0,1
Yuki Tsunoda,-3,8,13,0,0
Antonio Giovinazzi,8,18,15,0,0
Nicholas Latifi,-14,17,DNF,0,0
George Russell,6,15,17,0,1
Mick Schumacher,13,19,16,0,1
Nikita Mazepin,6,20,18,0,0
