,model,hidden_layer_sizes,activation,solver,alpha,score
388,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,0.012742749857031334,0.7894736842105263
389,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,0.023357214690901212,0.7894736842105263
397,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,2.9763514416313193,0.7894736842105263
380,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,0.0001,0.7894736842105263
381,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,0.00018329807108324357,0.7894736842105263
382,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,0.0003359818286283781,0.7894736842105263
383,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,0.0006158482110660267,0.7894736842105263
384,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,0.0011288378916846883,0.7894736842105263
385,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,0.00206913808111479,0.7894736842105263
386,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,0.00379269019073225,0.7894736842105263
387,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,0.0069519279617756054,0.7894736842105263
398,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,5.455594781168514,0.7894736842105263
390,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,0.04281332398719392,0.7894736842105263
391,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,0.07847599703514607,0.7894736842105263
392,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,0.14384498882876628,0.7894736842105263
394,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,0.4832930238571752,0.7894736842105263
393,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,0.26366508987303583,0.7894736842105263
399,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,10.0,0.7368421052631579
220,nn_regressor,"(80, 20, 40, 5)",tanh,adam,0.0001,0.7368421052631579
221,nn_regressor,"(80, 20, 40, 5)",tanh,adam,0.00018329807108324357,0.7368421052631579
222,nn_regressor,"(80, 20, 40, 5)",tanh,adam,0.0003359818286283781,0.7368421052631579
395,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,0.8858667904100823,0.7368421052631579
396,nn_regressor,"(75, 30, 50, 10, 3)",logistic,sgd,1.623776739188721,0.7368421052631579
223,nn_regressor,"(80, 20, 40, 5)",tanh,adam,0.0006158482110660267,0.7368421052631579
412,nn_regressor,"(75, 30, 50, 10, 3)",logistic,adam,0.14384498882876628,0.7368421052631579
170,nn_regressor,"(80, 20, 40, 5)",logistic,adam,0.04281332398719392,0.7368421052631579
225,nn_regressor,"(80, 20, 40, 5)",tanh,adam,0.00206913808111479,0.7368421052631579
178,nn_regressor,"(80, 20, 40, 5)",logistic,adam,5.455594781168514,0.7368421052631579
478,nn_regressor,"(75, 30, 50, 10, 3)",tanh,adam,5.455594781168514,0.7368421052631579
649,nn_regressor,"(100, 50, 25, 10)",logistic,adam,0.023357214690901212,0.7368421052631579
650,nn_regressor,"(100, 50, 25, 10)",logistic,adam,0.04281332398719392,0.7368421052631579
651,nn_regressor,"(100, 50, 25, 10)",logistic,adam,0.07847599703514607,0.7368421052631579
652,nn_regressor,"(100, 50, 25, 10)",logistic,adam,0.14384498882876628,0.7368421052631579
653,nn_regressor,"(100, 50, 25, 10)",logistic,adam,0.26366508987303583,0.7368421052631579
479,nn_regressor,"(75, 30, 50, 10, 3)",tanh,adam,10.0,0.7368421052631579
639,nn_regressor,"(100, 50, 25, 10)",logistic,sgd,10.0,0.7368421052631579
658,nn_regressor,"(100, 50, 25, 10)",logistic,adam,5.455594781168514,0.7368421052631579
659,nn_regressor,"(100, 50, 25, 10)",logistic,adam,10.0,0.7368421052631579
176,nn_regressor,"(80, 20, 40, 5)",logistic,adam,1.623776739188721,0.7368421052631579
171,nn_regressor,"(80, 20, 40, 5)",logistic,adam,0.07847599703514607,0.7368421052631579
175,nn_regressor,"(80, 20, 40, 5)",logistic,adam,0.8858667904100823,0.7368421052631579
174,nn_regressor,"(80, 20, 40, 5)",logistic,adam,0.4832930238571752,0.7368421052631579
414,nn_regressor,"(75, 30, 50, 10, 3)",logistic,adam,0.4832930238571752,0.7368421052631579
413,nn_regressor,"(75, 30, 50, 10, 3)",logistic,adam,0.26366508987303583,0.7368421052631579
173,nn_regressor,"(80, 20, 40, 5)",logistic,adam,0.26366508987303583,0.7368421052631579
411,nn_regressor,"(75, 30, 50, 10, 3)",logistic,adam,0.07847599703514607,0.7368421052631579
410,nn_regressor,"(75, 30, 50, 10, 3)",logistic,adam,0.04281332398719392,0.7368421052631579
409,nn_regressor,"(75, 30, 50, 10, 3)",logistic,adam,0.023357214690901212,0.7368421052631579
408,nn_regressor,"(75, 30, 50, 10, 3)",logistic,adam,0.012742749857031334,0.7368421052631579
172,nn_regressor,"(80, 20, 40, 5)",logistic,adam,0.14384498882876628,0.7368421052631579
224,nn_regressor,"(80, 20, 40, 5)",tanh,adam,0.0011288378916846883,0.7368421052631579
229,nn_regressor,"(80, 20, 40, 5)",tanh,adam,0.023357214690901212,0.7368421052631579
